Vivado Simulator 2020.2
Time resolution is 1 ps
				 time 	clk  sw  	btnC 	btnU 	btnD 	btnR 	btnL 	led 	seg 	an 	JA
                   0	0  00000000 	0 		0 		0 		0 		0 	00 	xxxxxxx 	xxxx 	1
                   5	1  00000000 	0 		0 		0 		0 		0 	00 	1000000 	0111 	1
                  10	0  00000000 	1 		0 		0 		0 		0 	00 	1000000 	0111 	1
                  15	1  00000000 	1 		0 		0 		0 		0 	00 	1000000 	0111 	1
                  20	0  00000000 	1 		0 		0 		0 		1 	00 	1000000 	0111 	1
                  25	1  00000000 	1 		0 		0 		0 		1 	00 	1000000 	1011 	1
                  30	0  11111110 	1 		0 		0 		0 		1 	00 	1000000 	1011 	1
                  35	1  11111110 	1 		0 		0 		0 		1 	01 	1000000 	1011 	0
                  40	0  11111110 	1 		0 		0 		0 		1 	01 	1000000 	1011 	0
                  45	1  11111110 	1 		0 		0 		0 		1 	01 	1000000 	1101 	0
                  50	0  11111110 	1 		0 		0 		0 		1 	01 	1000000 	1101 	0
                  55	1  11111110 	1 		0 		0 		0 		1 	01 	1000000 	1101 	0
                  60	0  11111110 	1 		0 		0 		0 		1 	01 	1000000 	1101 	0
                  65	1  11111110 	1 		0 		0 		0 		1 	01 	0001000 	1110 	0
                  70	0  11111110 	1 		0 		0 		0 		1 	01 	0001000 	1110 	0
                  75	1  11111110 	1 		0 		0 		0 		1 	01 	0001000 	1110 	0
                  80	0  11111110 	1 		0 		0 		0 		1 	01 	0001000 	1110 	0
                  85	1  11111110 	1 		0 		0 		0 		1 	01 	1000000 	0111 	0
                  90	0  11111110 	1 		0 		0 		0 		1 	01 	1000000 	0111 	0
                  95	1  11111110 	1 		0 		0 		0 		1 	01 	1000000 	0111 	0
                 100	0  11111110 	1 		0 		0 		0 		1 	01 	1000000 	0111 	0
                 105	1  11111110 	1 		0 		0 		0 		1 	01 	1000000 	1011 	0
                 110	0  11111110 	1 		0 		0 		0 		1 	01 	1000000 	1011 	0
                 115	1  11111110 	1 		0 		0 		0 		1 	01 	1000000 	1011 	0
                 120	0  11111110 	1 		0 		0 		0 		1 	01 	1000000 	1011 	0
                 125	1  11111110 	1 		0 		0 		0 		1 	01 	1000000 	1101 	0
                 130	0  01010101 	1 		0 		0 		0 		1 	01 	1000000 	1101 	0
                 135	1  01010101 	1 		0 		0 		0 		1 	00 	1000000 	1101 	1
                 140	0  01010101 	1 		0 		0 		0 		1 	00 	1000000 	1101 	1
                 145	1  01010101 	1 		0 		0 		0 		1 	00 	0001000 	1110 	1
                 150	0  01010101 	1 		0 		0 		0 		1 	00 	0001000 	1110 	1
                 155	1  01010101 	1 		0 		0 		0 		1 	00 	0001000 	1110 	1
                 160	0  01010101 	1 		0 		0 		0 		1 	00 	0001000 	1110 	1
                 165	1  01010101 	1 		0 		0 		0 		1 	00 	1000000 	0111 	1
                 170	0  01010101 	1 		0 		0 		0 		1 	00 	1000000 	0111 	1
                 175	1  01010101 	1 		0 		0 		0 		1 	00 	1000000 	0111 	1
                 180	0  01010101 	1 		0 		0 		0 		1 	00 	1000000 	0111 	1
                 185	1  01010101 	1 		0 		0 		0 		1 	00 	1000000 	1011 	1
                 190	0  01010101 	1 		0 		0 		0 		1 	00 	1000000 	1011 	1
                 195	1  01010101 	1 		0 		0 		0 		1 	00 	1000000 	1011 	1
                 200	0  01010101 	1 		0 		0 		0 		1 	00 	1000000 	1011 	1
                 205	1  01010101 	1 		0 		0 		0 		1 	00 	1000000 	1101 	1
                 210	0  01010101 	1 		0 		0 		0 		1 	00 	1000000 	1101 	1
                 215	1  01010101 	1 		0 		0 		0 		1 	00 	1000000 	1101 	1
                 220	0  01010101 	1 		0 		0 		0 		1 	00 	1000000 	1101 	1
                 225	1  01010101 	1 		0 		0 		0 		1 	00 	0001000 	1110 	1
$finish called at time : 230 ps : File "E:/Home Alarm System/Home Alarm System.srcs/sim_1/new/testbench.v" Line 43
